"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
LAWRENCE MEDICAL CENTER,010059,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
LAWRENCE MEDICAL CENTER,010059,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
LAWRENCE MEDICAL CENTER,010059,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
LAWRENCE MEDICAL CENTER,010059,AL,READM-30-PN-HRRP,N/A,,0.9772,16.8082,17.1996,Too Few to Report,07/01/2020,06/30/2023
LAWRENCE MEDICAL CENTER,010059,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
LAWRENCE MEDICAL CENTER,010059,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HIGHLANDS MEDICAL CENTER,010061,AL,READM-30-PN-HRRP,115,,0.9658,15.0548,15.5882,15,07/01/2020,06/30/2023
HIGHLANDS MEDICAL CENTER,010061,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HIGHLANDS MEDICAL CENTER,010061,AL,READM-30-HF-HRRP,N/A,,0.9393,16.5564,17.6268,Too Few to Report,07/01/2020,06/30/2023
HIGHLANDS MEDICAL CENTER,010061,AL,READM-30-COPD-HRRP,N/A,,0.9980,17.3730,17.4086,Too Few to Report,07/01/2020,06/30/2023
HIGHLANDS MEDICAL CENTER,010061,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HIGHLANDS MEDICAL CENTER,010061,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WIREGRASS MEDICAL CENTER,010062,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WIREGRASS MEDICAL CENTER,010062,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WIREGRASS MEDICAL CENTER,010062,AL,READM-30-PN-HRRP,N/A,,0.9722,15.5356,15.9792,Too Few to Report,07/01/2020,06/30/2023
WIREGRASS MEDICAL CENTER,010062,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WIREGRASS MEDICAL CENTER,010062,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WIREGRASS MEDICAL CENTER,010062,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
RUSSELL MEDICAL CENTER,010065,AL,READM-30-PN-HRRP,N/A,,0.9314,14.6363,15.7145,Too Few to Report,07/01/2020,06/30/2023
RUSSELL MEDICAL CENTER,010065,AL,READM-30-AMI-HRRP,N/A,,1.0115,13.3263,13.1753,Too Few to Report,07/01/2020,06/30/2023
RUSSELL MEDICAL CENTER,010065,AL,READM-30-COPD-HRRP,N/A,,1.0035,15.2603,15.2076,Too Few to Report,07/01/2020,06/30/2023
RUSSELL MEDICAL CENTER,010065,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
RUSSELL MEDICAL CENTER,010065,AL,READM-30-HF-HRRP,94,,0.9604,18.9587,19.7400,15,07/01/2020,06/30/2023
RUSSELL MEDICAL CENTER,010065,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8537,5.7981,6.7918,Too Few to Report,07/01/2020,06/30/2023
MEDICAL CENTER BARBOUR,010069,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MEDICAL CENTER BARBOUR,010069,AL,READM-30-HF-HRRP,N/A,,1.0252,18.5654,18.1084,Too Few to Report,07/01/2020,06/30/2023
MEDICAL CENTER BARBOUR,010069,AL,READM-30-PN-HRRP,N/A,,0.9433,11.7933,12.5023,Too Few to Report,07/01/2020,06/30/2023
MEDICAL CENTER BARBOUR,010069,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MEDICAL CENTER BARBOUR,010069,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MEDICAL CENTER BARBOUR,010069,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CLAY COUNTY HOSPITAL,010073,AL,READM-30-PN-HRRP,N/A,,0.9695,12.9448,13.3516,Too Few to Report,07/01/2020,06/30/2023
CLAY COUNTY HOSPITAL,010073,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CLAY COUNTY HOSPITAL,010073,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CLAY COUNTY HOSPITAL,010073,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CLAY COUNTY HOSPITAL,010073,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CLAY COUNTY HOSPITAL,010073,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,READM-30-HF-HRRP,311,,1.0350,20.7547,20.0534,67,07/01/2020,06/30/2023
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,READM-30-AMI-HRRP,196,,1.1409,17.0661,14.9585,40,07/01/2020,06/30/2023
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,READM-30-PN-HRRP,270,,0.9644,16.0961,16.6898,41,07/01/2020,06/30/2023
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,READM-30-HIP-KNEE-HRRP,177,,1.2908,5.5052,4.2650,13,07/01/2020,06/30/2023
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,READM-30-COPD-HRRP,190,,0.8528,16.7256,19.6126,22,07/01/2020,06/30/2023
ATHENS LIMESTONE HOSPITAL,010079,AL,READM-30-HF-HRRP,151,,0.9989,19.2540,19.2744,29,07/01/2020,06/30/2023
ATHENS LIMESTONE HOSPITAL,010079,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ATHENS LIMESTONE HOSPITAL,010079,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0610,4.8484,4.5697,Too Few to Report,07/01/2020,06/30/2023
ATHENS LIMESTONE HOSPITAL,010079,AL,READM-30-COPD-HRRP,105,,1.0135,18.2752,18.0322,20,07/01/2020,06/30/2023
ATHENS LIMESTONE HOSPITAL,010079,AL,READM-30-PN-HRRP,179,,1.0464,15.0886,14.4197,30,07/01/2020,06/30/2023
ATHENS LIMESTONE HOSPITAL,010079,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1909,5.8732,4.9315,Too Few to Report,07/01/2020,06/30/2023
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,READM-30-HF-HRRP,277,,1.0014,19.4598,19.4330,54,07/01/2020,06/30/2023
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,READM-30-PN-HRRP,262,,0.9840,15.2954,15.5437,39,07/01/2020,06/30/2023
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,READM-30-COPD-HRRP,116,,0.9495,16.4861,17.3629,16,07/01/2020,06/30/2023
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,READM-30-AMI-HRRP,113,,1.0180,12.5378,12.3160,15,07/01/2020,06/30/2023
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,010085,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1523,7.2224,6.2677,Too Few to Report,07/01/2020,06/30/2023
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,010085,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,010085,AL,READM-30-PN-HRRP,440,,0.9726,14.9667,15.3890,64,07/01/2020,06/30/2023
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,010085,AL,READM-30-HF-HRRP,399,,0.9652,18.6643,19.3369,72,07/01/2020,06/30/2023
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,010085,AL,READM-30-COPD-HRRP,139,,1.0403,16.9957,16.3374,26,07/01/2020,06/30/2023
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,010085,AL,READM-30-AMI-HRRP,N/A,,0.9633,15.8423,16.4458,Too Few to Report,07/01/2020,06/30/2023
NORTHWEST MEDICAL CENTER,010086,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
NORTHWEST MEDICAL CENTER,010086,AL,READM-30-HF-HRRP,N/A,,0.9898,18.6386,18.8311,Too Few to Report,07/01/2020,06/30/2023
NORTHWEST MEDICAL CENTER,010086,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
NORTHWEST MEDICAL CENTER,010086,AL,READM-30-PN-HRRP,N/A,,0.9250,13.9501,15.0819,Too Few to Report,07/01/2020,06/30/2023
NORTHWEST MEDICAL CENTER,010086,AL,READM-30-COPD-HRRP,N/A,,0.9167,16.5953,18.1026,Too Few to Report,07/01/2020,06/30/2023
NORTHWEST MEDICAL CENTER,010086,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
USA HEALTH UNIVERSITY HOSPITAL,010087,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
USA HEALTH UNIVERSITY HOSPITAL,010087,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
USA HEALTH UNIVERSITY HOSPITAL,010087,AL,READM-30-AMI-HRRP,N/A,,0.9903,13.8751,14.0111,Too Few to Report,07/01/2020,06/30/2023
USA HEALTH UNIVERSITY HOSPITAL,010087,AL,READM-30-PN-HRRP,N/A,,0.9676,16.9059,17.4727,Too Few to Report,07/01/2020,06/30/2023
USA HEALTH UNIVERSITY HOSPITAL,010087,AL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
USA HEALTH UNIVERSITY HOSPITAL,010087,AL,READM-30-HF-HRRP,N/A,,1.0023,19.2135,19.1689,Too Few to Report,07/01/2020,06/30/2023
WALKER BAPTIST MEDICAL CENTER,010089,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WALKER BAPTIST MEDICAL CENTER,010089,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WALKER BAPTIST MEDICAL CENTER,010089,AL,READM-30-COPD-HRRP,87,,1.0075,17.8648,17.7313,16,07/01/2020,06/30/2023
WALKER BAPTIST MEDICAL CENTER,010089,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WALKER BAPTIST MEDICAL CENTER,010089,AL,READM-30-PN-HRRP,155,,0.9149,14.1300,15.4442,16,07/01/2020,06/30/2023
WALKER BAPTIST MEDICAL CENTER,010089,AL,READM-30-HF-HRRP,154,,1.0249,19.0211,18.5589,31,07/01/2020,06/30/2023
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",010090,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9585,4.4314,4.6234,Too Few to Report,07/01/2020,06/30/2023
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",010090,AL,READM-30-AMI-HRRP,154,,1.0685,12.9210,12.0927,23,07/01/2020,06/30/2023
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",010090,AL,READM-30-COPD-HRRP,96,,0.9523,15.5225,16.2994,12,07/01/2020,06/30/2023
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",010090,AL,READM-30-CABG-HRRP,N/A,,0.9970,10.0973,10.1274,Too Few to Report,07/01/2020,06/30/2023
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",010090,AL,READM-30-HF-HRRP,341,,0.9687,18.5410,19.1392,61,07/01/2020,06/30/2023
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",010090,AL,READM-30-PN-HRRP,285,,1.1009,17.3591,15.7677,56,07/01/2020,06/30/2023
GROVE HILL MEMORIAL HOSPITAL,010091,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
GROVE HILL MEMORIAL HOSPITAL,010091,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
GROVE HILL MEMORIAL HOSPITAL,010091,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
GROVE HILL MEMORIAL HOSPITAL,010091,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
GROVE HILL MEMORIAL HOSPITAL,010091,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
GROVE HILL MEMORIAL HOSPITAL,010091,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
DCH REGIONAL MEDICAL CENTER,010092,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1877,5.9217,4.9856,Too Few to Report,07/01/2020,06/30/2023
DCH REGIONAL MEDICAL CENTER,010092,AL,READM-30-CABG-HRRP,N/A,,1.0061,9.7563,9.6976,Too Few to Report,07/01/2020,06/30/2023
DCH REGIONAL MEDICAL CENTER,010092,AL,READM-30-AMI-HRRP,173,,1.0291,12.5146,12.1604,23,07/01/2020,06/30/2023
DCH REGIONAL MEDICAL CENTER,010092,AL,READM-30-HF-HRRP,681,,0.9813,18.5476,18.9006,125,07/01/2020,06/30/2023
DCH REGIONAL MEDICAL CENTER,010092,AL,READM-30-COPD-HRRP,312,,1.1361,20.8401,18.3429,73,07/01/2020,06/30/2023
DCH REGIONAL MEDICAL CENTER,010092,AL,READM-30-PN-HRRP,604,,1.1388,18.0700,15.8669,118,07/01/2020,06/30/2023
HALE COUNTY HOSPITAL,010095,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HALE COUNTY HOSPITAL,010095,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HALE COUNTY HOSPITAL,010095,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HALE COUNTY HOSPITAL,010095,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HALE COUNTY HOSPITAL,010095,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HALE COUNTY HOSPITAL,010095,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ELMORE COMMUNITY HOSPITAL,010097,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ELMORE COMMUNITY HOSPITAL,010097,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ELMORE COMMUNITY HOSPITAL,010097,AL,READM-30-PN-HRRP,N/A,,1.0172,12.9151,12.6968,Too Few to Report,07/01/2020,06/30/2023
ELMORE COMMUNITY HOSPITAL,010097,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ELMORE COMMUNITY HOSPITAL,010097,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ELMORE COMMUNITY HOSPITAL,010097,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,READM-30-HF-HRRP,N/A,,0.9930,17.3970,17.5202,Too Few to Report,07/01/2020,06/30/2023
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,READM-30-PN-HRRP,N/A,,0.9716,13.5046,13.8999,Too Few to Report,07/01/2020,06/30/2023
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
THOMAS HOSPITAL,010100,AL,READM-30-CABG-HRRP,202,,0.9432,9.8544,10.4479,18,07/01/2020,06/30/2023
THOMAS HOSPITAL,010100,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8863,4.2558,4.8015,Too Few to Report,07/01/2020,06/30/2023
THOMAS HOSPITAL,010100,AL,READM-30-PN-HRRP,342,,1.0643,15.7419,14.7909,58,07/01/2020,06/30/2023
THOMAS HOSPITAL,010100,AL,READM-30-HF-HRRP,334,,1.0359,19.9162,19.2259,69,07/01/2020,06/30/2023
THOMAS HOSPITAL,010100,AL,READM-30-COPD-HRRP,79,,1.0630,19.2411,18.1012,19,07/01/2020,06/30/2023
THOMAS HOSPITAL,010100,AL,READM-30-AMI-HRRP,140,,0.9548,10.8037,11.3148,13,07/01/2020,06/30/2023
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,READM-30-PN-HRRP,56,,1.1244,16.4345,14.6165,17,07/01/2020,06/30/2023
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,READM-30-HF-HRRP,50,,1.0714,20.3155,18.9613,15,07/01/2020,06/30/2023
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
J PAUL JONES HOSPITAL,010102,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
J PAUL JONES HOSPITAL,010102,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
J PAUL JONES HOSPITAL,010102,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
J PAUL JONES HOSPITAL,010102,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
J PAUL JONES HOSPITAL,010102,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
J PAUL JONES HOSPITAL,010102,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
PRINCETON BAPTIST MEDICAL CENTER,010103,AL,READM-30-AMI-HRRP,121,,1.0055,14.6549,14.5749,18,07/01/2020,06/30/2023
PRINCETON BAPTIST MEDICAL CENTER,010103,AL,READM-30-HF-HRRP,218,,0.9504,19.0640,20.0595,38,07/01/2020,06/30/2023
PRINCETON BAPTIST MEDICAL CENTER,010103,AL,READM-30-COPD-HRRP,N/A,,0.9694,17.7506,18.3119,Too Few to Report,07/01/2020,06/30/2023
PRINCETON BAPTIST MEDICAL CENTER,010103,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9928,5.1548,5.1920,Too Few to Report,07/01/2020,06/30/2023
PRINCETON BAPTIST MEDICAL CENTER,010103,AL,READM-30-PN-HRRP,103,,0.9766,17.1164,17.5261,16,07/01/2020,06/30/2023
PRINCETON BAPTIST MEDICAL CENTER,010103,AL,READM-30-CABG-HRRP,N/A,,1.0605,11.5758,10.9158,Too Few to Report,07/01/2020,06/30/2023
GRANDVIEW MEDICAL CENTER,010104,AL,READM-30-COPD-HRRP,154,,1.0040,18.6724,18.5979,29,07/01/2020,06/30/2023
GRANDVIEW MEDICAL CENTER,010104,AL,READM-30-PN-HRRP,341,,0.9621,15.7195,16.3387,51,07/01/2020,06/30/2023
GRANDVIEW MEDICAL CENTER,010104,AL,READM-30-CABG-HRRP,112,,1.1821,12.8849,10.9002,20,07/01/2020,06/30/2023
GRANDVIEW MEDICAL CENTER,010104,AL,READM-30-HF-HRRP,598,,1.0208,20.6583,20.2372,125,07/01/2020,06/30/2023
GRANDVIEW MEDICAL CENTER,010104,AL,READM-30-AMI-HRRP,207,,1.0593,14.5933,13.7765,33,07/01/2020,06/30/2023
GRANDVIEW MEDICAL CENTER,010104,AL,READM-30-HIP-KNEE-HRRP,385,,1.0159,4.6229,4.5504,18,07/01/2020,06/30/2023
PRATTVILLE BAPTIST HOSPITAL,010108,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
PRATTVILLE BAPTIST HOSPITAL,010108,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
PRATTVILLE BAPTIST HOSPITAL,010108,AL,READM-30-PN-HRRP,142,,0.9250,14.1876,15.3376,15,07/01/2020,06/30/2023
PRATTVILLE BAPTIST HOSPITAL,010108,AL,READM-30-HF-HRRP,157,,1.0382,19.9833,19.2489,34,07/01/2020,06/30/2023
PRATTVILLE BAPTIST HOSPITAL,010108,AL,READM-30-COPD-HRRP,88,,0.9658,17.1758,17.7835,13,07/01/2020,06/30/2023
PRATTVILLE BAPTIST HOSPITAL,010108,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BULLOCK COUNTY HOSPITAL,010110,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BULLOCK COUNTY HOSPITAL,010110,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BULLOCK COUNTY HOSPITAL,010110,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BULLOCK COUNTY HOSPITAL,010110,AL,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BULLOCK COUNTY HOSPITAL,010110,AL,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BULLOCK COUNTY HOSPITAL,010110,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WHITFIELD REGIONAL HOSPITAL,010112,AL,READM-30-PN-HRRP,N/A,,0.9343,16.4488,17.6050,Too Few to Report,07/01/2020,06/30/2023
WHITFIELD REGIONAL HOSPITAL,010112,AL,READM-30-HF-HRRP,66,,0.9820,20.1405,20.5102,12,07/01/2020,06/30/2023
WHITFIELD REGIONAL HOSPITAL,010112,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WHITFIELD REGIONAL HOSPITAL,010112,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WHITFIELD REGIONAL HOSPITAL,010112,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WHITFIELD REGIONAL HOSPITAL,010112,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MOBILE INFIRMARY MEDICAL CENTER,010113,AL,READM-30-CABG-HRRP,N/A,,1.1177,11.3608,10.1641,Too Few to Report,07/01/2020,06/30/2023
MOBILE INFIRMARY MEDICAL CENTER,010113,AL,READM-30-COPD-HRRP,146,,1.0694,19.7481,18.4657,33,07/01/2020,06/30/2023
MOBILE INFIRMARY MEDICAL CENTER,010113,AL,READM-30-PN-HRRP,393,,0.9485,15.4143,16.2515,57,07/01/2020,06/30/2023
MOBILE INFIRMARY MEDICAL CENTER,010113,AL,READM-30-HF-HRRP,392,,0.9835,19.9434,20.2785,77,07/01/2020,06/30/2023
MOBILE INFIRMARY MEDICAL CENTER,010113,AL,READM-30-AMI-HRRP,157,,1.0816,14.8000,13.6835,27,07/01/2020,06/30/2023
MOBILE INFIRMARY MEDICAL CENTER,010113,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9279,4.0475,4.3619,Too Few to Report,07/01/2020,06/30/2023
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,READM-30-HF-HRRP,98,,0.9338,19.2231,20.5857,14,07/01/2020,06/30/2023
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,READM-30-PN-HRRP,153,,1.0069,15.3873,15.2823,24,07/01/2020,06/30/2023
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,READM-30-COPD-HRRP,N/A,,0.9697,18.1823,18.7510,Too Few to Report,07/01/2020,06/30/2023
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,010118,AL,READM-30-PN-HRRP,113,,1.0289,16.8791,16.4051,21,07/01/2020,06/30/2023
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,010118,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
